"Fuel Consumption (ktoe) by Sector, Fuel Type and Year",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Final energy consumption,Sum of all fuel products,7249,7448,7325,7591,7861,7979,8335,8646,9356,9944,10814,11262,11309,11632,11912,12607,12947,13146,13206,11994,11894,11103,10691,10882,10831,11342,11680
,Sum of all coal products,843,916,586,610,390,317,487,368,398,327,398,393,374,441,452,484,428,421,421,379,367,328,339,355,326,312,289
,Bituminous coal,825,790,431,473,305,249,399,312,318,261,323,311,292,367,376,399,366,352,353,297,290,250,262,255,240,232,211
,Anthracite and manufactured ovoids,0,93,129,116,65,47,69,38,57,47,59,62,56,55,60,61,58,62,58,70,67,67,65,83,73,68,69
,Coke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lignite,18,33,26,21,20,21,19,18,23,19,17,21,26,19,15,24,4,7,10,12,10,11,12,17,13,13,9
,Sum of all peat products,757,651,659,626,622,612,499,472,470,328,303,292,293,271,267,274,284,272,280,273,254,242,215,218,201,201,198
,Milled peat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1
,Sod peat,586,478,496,457,473,486,374,361,348,206,179,179,178,177,177,183,196,186,174,169,165,163,128,128,128,128,128
,Briquettes,171,172,163,169,149,126,125,112,122,122,124,113,116,94,90,91,88,85,106,104,88,79,87,90,72,73,69
,Sum of all petroleum products,3952,4054,4185,4332,4766,4884,5015,5400,5883,6520,7047,7402,7440,7531,7707,8196,8340,8545,8389,7397,7162,6552,6093,6209,6170,6487,6740
,Crude oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Refinery gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Gasoline,942,964,1034,1015,1048,1104,1170,1251,1391,1506,1590,1652,1688,1686,1731,1822,1849,1886,1798,1636,1478,1399,1272,1197,1134,1075,1003
,Kerosene,121,132,122,141,239,325,421,457,540,689,660,746,767,832,895,919,916,913,1015,1058,1123,887,758,785,743,861,906
,Jet kerosene,374,361,316,460,410,400,370,444,459,542,629,755,802,784,743,857,988,1043,970,767,787,699,586,675,748,846,868
,Fuel oil,589,549,616,610,734,672,618,655,632,672,714,606,548,509,512,500,381,369,341,269,321,180,118,148,85,51,44
,LPG,148,154,146,148,152,146,138,135,142,144,153,157,149,146,149,166,162,161,164,115,148,142,137,166,150,153,163
,Gasoil/diesel/DERV,1710,1794,1877,1891,2085,2126,2235,2313,2593,2834,3096,3207,3242,3311,3430,3653,3779,3900,3853,3420,3218,3168,3121,3139,3189,3371,3616
,Petroleum coke,66,99,73,66,97,110,63,143,124,130,205,278,243,262,247,278,263,271,246,130,86,76,101,99,122,131,139
,Naphta,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
,Bitumen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,White spirit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lubricants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Natural gas,570,652,668,764,772,797,871,873,966,1038,1203,1237,1199,1280,1353,1367,1468,1461,1567,1468,1596,1509,1627,1634,1622,1722,1786
,Sum of all renewable energies,108,104,92,94,93,92,98,96,117,110,118,130,131,128,151,191,201,225,255,291,321,319,311,345,396,419,426
,Hydro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Biomass,105,101,89,90,91,89,95,92,112,105,113,125,125,119,139,176,181,180,169,177,187,175,177,191,222,224,230
,Landfill gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Biogas,2,3,3,4,2,3,4,4,4,4,4,4,4,7,7,7,6,5,5,8,8,9,9,7,8,9,10
,Liquid Biofuel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,22,56,77,93,98,85,102,116,128,118
,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,7,9,10,11,12,13,14
,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,7,11,16,22,24,26,28,30,33,38,45,55
,Electricity,1021,1072,1136,1166,1217,1277,1363,1438,1522,1621,1745,1808,1872,1981,1983,2094,2225,2224,2294,2173,2186,2139,2078,2082,2076,2156,2199
